Project,Commits,Developers,Ocurr_nd,Devs_nd,Floss_nd,Root_nd,Ocurr_d,Devs_d,Floss_d,Root_d,Total_Ocorr
BfgMiner,12.651,93,0,0,0,0,2,2,2,0,2
Busybox,15.14,174,1,1,0,1,13,5,8,5,14
Cgminer,7.911,76,1,1,0,1,0,0,0,0,1
Contiki,12.325,159,1,1,0,1,0,0,0,0,1
CVS,8.405,10,4,3,4,0,0,0,0,0,4
Dia,6.047,86,1,1,0,1,0,0,0,0,1
DynamRIO,2.389,11,1,1,0,1,0,0,0,0,1
Etlegacy,7.055,60,2,2,1,1,0,0,0,0,2
FreeBSD,245.267,239,0,0,0,0,0,0,0,0,0
Fvwm,5.612,10,4,2,1,3,0,0,0,0,4
Gawk,1.091,99,1,1,0,1,3,1,3,0,4
Glfw,3.473,101,2,1,1,1,0,0,0,0,2
GLibc,19.688,4,4,1,1,3,10,2,6,4,14
GNUPlot,10.094,16,5,2,3,2,2,1,2,0,7
H2O,4.543,76,1,1,0,1,0,0,0,0,1
Ioq3,3.164,54,2,2,0,2,0,0,0,0,2
Irssi,5.424,72,1,1,1,0,0,0,0,0,1
Libevent,3.877,48,1,1,0,1,0,0,0,0,1
LibPNG,3.171,21,13,2,11,2,4,2,4,0,17
LibSSH,1.912,8,3,2,1,2,0,0,0,0,3
Libxml2,4.608,129,9,3,6,3,3,1,3,0,12
MoarVM,8.916,77,1,1,1,0,0,0,0,0,1
MPV-Player,45.595,222,10,7,4,6,12,9,10,2,22
Msysgit,47.127,875,2,2,2,0,0,0,0,0,2
Mupen64,626,12,0,0,0,0,1,1,1,0,1
NGinx,4.106,9,6,1,6,0,3,1,0,3,9
Numpy,16.749,571,1,1,1,0,0,0,0,0,1
OpenSSL,20.88,299,11,6,7,4,4,4,4,0,15
OpenVPN,2.122,91,1,1,0,1,1,1,1,0,2
Parrot,49.988,113,1,1,1,0,0,0,0,0,1
Postgres,30.548,18,12,3,4,8,6,3,4,2,18
Riot,15.304,156,2,1,0,2,2,2,2,0,4
Rspamd,10.941,50,1,1,0,1,1,1,0,1,2
Rsyslog,10.875,164,1,1,1,0,1,1,1,0,2
Torque,9.108,7,3,3,0,3,2,2,2,0,5
Toxic,1.777,77,1,1,1,0,1,1,0,1,2
Vim,7.781,1,12,1,7,5,0,0,0,0,12
